City,Lat,Lon,Pop_15to44,Population
Arlington,32.66,-97.09,13944.0,31416.0
Azle,32.9,-97.6,9473.0,27714.0
Bedford,32.85,-97.13,14418.0,35903.0
Bedford,32.83,-97.14,5000.0,13059.0
Colleyville,32.89,-97.14,6546.0,25557.0
Crowley,32.58,-97.41,10141.0,25736.0
Euless,32.86,-97.09,14643.0,33750.0
Euless,32.81,-97.1,14082.0,32301.0
Grapevine,32.94,-97.07,21717.0,51685.0
Haslet,32.98,-97.39,8584.0,20779.0
Hurst,32.82,-97.17,12529.0,30567.0
Hurst,32.86,-97.18,4025.0,11948.0
Kennedale,32.64,-97.21,2887.0,7638.0
Mansfield,32.57,-97.13,28766.0,69146.0
Southlake,32.96,-97.15,9153.0,30138.0
Fort Worth,32.76,-97.33,5041.0,9803.0
Fort Worth,32.75,-97.27,5222.0,13689.0
Fort Worth,32.73,-97.32,7417.0,18199.0
Fort Worth,32.72,-97.27,9833.0,21661.0
Fort Worth,32.81,-97.36,17950.0,39218.0
Fort Worth,32.74,-97.38,14127.0,30110.0
Fort Worth,32.78,-97.51,16643.0,41418.0
Fort Worth,32.7,-97.39,10469.0,22448.0
Fort Worth,32.71,-97.34,14176.0,31118.0
Fort Worth,32.78,-97.3,9884.0,22456.0
Fort Worth,32.75,-97.23,17519.0,41448.0
Fort Worth,32.78,-97.39,10894.0,25647.0
Fort Worth,32.68,-97.33,9364.0,20485.0
Fort Worth,32.72,-97.46,21522.0,49789.0
Haltom City,32.8,-97.26,13354.0,31298.0
Fort Worth,32.8,-97.19,6959.0,16318.0
Fort Worth,32.7,-97.26,20296.0,48380.0
Fort Worth,32.76,-97.17,8173.0,19041.0
Fort Worth,32.62,-97.39,13423.0,32131.0
Fort Worth,32.6,-97.5,7087.0,21355.0
Naval Air Station JRB,32.78,-97.42,1319.0,2048.0
Fort Worth,32.88,-97.35,17542.0,37868.0
Fort Worth,32.66,-97.42,11195.0,26405.0
Fort Worth,32.66,-97.38,20302.0,51022.0
Fort Worth,32.64,-97.33,10778.0,26581.0
Fort Worth,32.84,-97.47,9495.0,23845.0
Fort Worth,32.85,-97.29,28189.0,60065.0
Fort Worth,32.62,-97.27,13017.0,30643.0
Fort Worth,32.87,-97.25,10093.0,23819.0
Fort Worth,32.81,-97.05,3435.0,5289.0
Fort Worth,32.78,-97.36,6652.0,16091.0
Fort Worth,32.97,-97.29,3876.0,7907.0
Fort Worth,32.9,-97.4,24557.0,57204.0
North Richland Hills,32.84,-97.22,14439.0,36385.0
North Richland Hills,32.89,-97.21,11106.0,31227.0
Denton,33.22,-97.15,21552.0,28038.0
Denton,33.19,-97.13,12207.0,20992.0
Denton,33.2,-97.2,5927.0,14221.0
Denton,33.21,-97.07,10032.0,23463.0
Denton,33.23,-97.11,11815.0,24667.0
Denton,33.15,-97.1,18511.0,44044.0
Argyle,33.12,-97.17,8603.0,25037.0
Aubrey,33.3,-97.0,12679.0,29616.0
Keller,32.93,-97.28,33537.0,74414.0
Justin,33.1,-97.3,5618.0,14009.0
Keller,32.93,-97.22,13768.0,39131.0
Krum,33.3,-97.3,3606.0,8516.0
Pilot Point,33.4,-96.9,2338.0,6820.0
Ponder,33.21,-97.3,1980.0,4890.0
Roanoke,33.01,-97.23,13433.0,34422.0
Sanger,33.4,-97.2,5885.0,15439.0
Houston,29.75,-95.37,8615.0,12370.0
Houston,29.75,-95.35,5347.0,9646.0
Houston,29.72,-95.38,23165.0,37642.0
Houston,29.72,-95.42,11537.0,28233.0
Houston,29.74,-95.39,12804.0,21945.0
Houston,29.77,-95.41,22496.0,35822.0
Houston,29.8,-95.42,17446.0,34491.0
Houston,29.79,-95.37,16668.0,37751.0
Houston,29.754,-95.36,430.0,915.0
Houston,29.74,-95.3,7830.0,18598.0
Houston,29.72,-95.27,9112.0,20085.0
Houston,29.8,-95.24,9377.0,20790.0
Houston,29.99,-95.46,17110.0,35729.0
Houston,29.77,-95.16,25774.0,57258.0
Houston,29.86,-95.3,11579.0,29597.0
Houston,29.68,-95.26,14712.0,32556.0
Houston,29.83,-95.43,11439.0,28073.0
Houston,29.75,-95.41,10160.0,21572.0
Houston,29.77,-95.32,10875.0,25898.0
Houston,29.7,-95.36,11722.0,26654.0
Houston,29.83,-95.38,10527.0,27364.0
Houston,29.72,-95.31,12894.0,28528.0
Houston,29.77,-95.5,11814.0,38110.0
Houston,29.68,-95.43,12902.0,28922.0
Houston,29.8,-95.32,9366.0,22799.0
Houston,29.74,-95.45,9046.0,16012.0
Houston,29.83,-95.29,5695.0,15725.0
Houston,29.76,-95.25,7097.0,17894.0
Houston,29.71,-95.41,5451.0,10813.0
Houston,29.66,-95.55,8672.0,18052.0
Houston,29.97,-95.34,6537.0,14443.0
Houston,29.67,-95.34,11733.0,29692.0
Houston,29.62,-95.2,19358.0,40183.0
Houston,29.65,-95.48,16324.0,38324.0
Houston,29.69,-95.53,37853.0,76605.0
Houston,29.9,-95.39,9138.0,20038.0
Houston,29.92,-95.45,14414.0,30653.0
Houston,29.91,-95.34,12608.0,27972.0
Houston,29.87,-95.54,21786.0,48273.0
