Zip Code,City,County,Type
75208,Dallas,Dallas,Standard
75209,Dallas,Dallas,Standard
75210,Dallas,Dallas,Standard
75211,Dallas,Dallas,Standard
75212,Dallas,Dallas,Standard
75214,Dallas,Dallas,Standard
75215,Dallas,Dallas,Standard
75216,Dallas,Dallas,Standard
75217,Dallas,Dallas,Standard
75218,Dallas,Dallas,Standard
75219,Dallas,Dallas,Standard
75220,Dallas,Dallas,Standard
75221,Dallas,Dallas,P.O. Box
75222,Dallas,Dallas,P.O. Box
75223,Dallas,Dallas,Standard
75224,Dallas,Dallas,Standard
75225,Dallas,Dallas,Standard
75226,Dallas,Dallas,Standard
75227,Dallas,Dallas,Standard
75228,Dallas,Dallas,Standard
75229,Dallas,Dallas,Standard
75230,Dallas,Dallas,Standard
75231,Dallas,Dallas,Standard
75232,Dallas,Dallas,Standard
75233,Dallas,Dallas,Standard
75234,Dallas,Dallas,Standard
75235,Dallas,Dallas,Standard
75236,Dallas,Dallas,Standard
75237,Dallas,Dallas,Standard
75238,Dallas,Dallas,Standard
75240,Dallas,Dallas,Standard
75241,Dallas,Dallas,Standard
75242,Dallas,Dallas,Standard
75243,Dallas,Dallas,Standard
75244,Dallas,Dallas,Standard
75246,Dallas,Dallas,Standard
75247,Dallas,Dallas,Standard
75248,Dallas,Dallas,Standard
75249,Dallas,Dallas,Standard
75250,Dallas,Dallas,P.O. Box
75251,Dallas,Dallas,Standard
75252,Dallas,Collin,Standard
75253,Dallas,Dallas,Standard
75254,Dallas,Dallas,Standard
75260,Dallas,Dallas,Standard
75261,Dallas,Dallas,P.O. Box
75262,Dallas,Dallas,P.O. Box
75263,Dallas,Dallas,P.O. Box
75264,Dallas,Dallas,P.O. Box
75265,Dallas,Dallas,P.O. Box
75266,Dallas,Dallas,P.O. Box
75267,Dallas,Dallas,P.O. Box
75270,Dallas,Dallas,Standard
75275,Dallas,Dallas,Unique
75277,Dallas,Dallas,Unique
75283,Dallas,Dallas,Unique
75284,Dallas,Dallas,Unique
75285,Dallas,Dallas,Unique
75287,Dallas,Collin,Standard
75301,Dallas,Dallas,Unique
75303,Dallas,Dallas,Unique
75312,Dallas,Dallas,Unique
75313,Dallas,Dallas,P.O. Box
75315,Dallas,Dallas,P.O. Box
