Zip_Codes,Lat,Lon
77066,29.96,-95.5
77067,29.95,-95.45
77068,30.01,-95.49
77069,29.99,-95.52
77070,29.98,-95.58
77071,29.65,-95.52
77072,29.69,-95.59
77073,30.0,-95.4
77074,29.69,-95.53
77075,29.62,-95.26
77076,29.85,-95.38
77077,29.75,-95.63
77078,29.85,-95.26
77079,29.79,-95.6
77080,29.81,-95.52
77081,29.71,-95.48
77082,29.74,-95.64
77083,29.69,-95.65
77084,29.83,-95.66
77085,29.62,-95.49
77086,29.92,-95.49
77087,29.69,-95.3
77088,29.88,-95.45
77089,29.59,-95.22
77090,30.0,-95.45
77091,29.86,-95.44
77092,29.83,-95.47
77093,29.86,-95.34
77094,29.76,-95.69
77095,29.91,-95.64
77096,29.67,-95.48
77098,29.73,-95.42
77099,29.67,-95.59
77201,29.7655,-95.3658
77301,30.3,-95.43
77302,30.23,-95.36
77303,30.4,-95.4
77304,30.33,-95.52
77306,30.27,-95.31
77315,,
77316,30.3,-95.7
77318,30.44,-95.54
77336,30.06,-95.1
77338,30.01,-95.29
77339,30.05,-95.22
77345,30.06,-95.16
77346,29.98,-95.18
77354,30.2,-95.7
77355,30.16,-95.75
77356,30.4,-95.7
77357,30.2,-95.2
77362,30.16,-95.66
77365,30.11,-95.27
77372,30.25,-95.17
77373,30.07,-95.37
77375,30.09,-95.59
77377,30.06,-95.68
77378,30.5,-95.4
77379,30.04,-95.53
77380,30.14,-95.47
77381,30.18,-95.5
77382,30.2,-95.54
77384,30.23,-95.5
77385,30.18,-95.4
77386,30.09,-95.36
77388,30.05,-95.47
77389,30.13,-95.49
77396,29.94,-95.25
77401,29.71,-95.47
77406,29.6,-95.8
77407,29.66,-95.73
77417,29.48,-95.98
77429,29.98,-95.66
77433,29.96,-95.74
77441,29.7,-95.9
77444,29.3,-95.79
77447,30.1,-95.8
77449,29.83,-95.73
77450,29.74,-95.74
77459,29.53,-95.52
77461,29.4,-95.8
77469,29.5,-95.7
77471,29.5,-95.9
77477,29.63,-95.56
77478,29.62,-95.61
77479,29.56,-95.64
77484,30.1,-95.9
77489,29.61,-95.51
77493,29.85,-95.84
77494,29.74,-95.84
77498,29.64,-95.65
77502,29.68,-95.2
77503,29.71,-95.16
77504,29.65,-95.19
77505,29.65,-95.14
77506,29.71,-95.21
77507,29.62,-95.08
77520,29.75,-95.0
77521,29.82,-94.97
77530,29.78,-95.11
77532,29.9,-95.0
77536,29.71,-95.12
77545,29.54,-95.47
77547,29.74,-95.23
77562,29.83,-95.05
77571,29.69,-95.04
77586,29.58,-95.03
77587,29.66,-95.23
77598,29.55,-95.14
78002,29.28,-98.74
78023,29.6,-98.8
78069,29.19,-98.68
78073,29.24,-98.63
78101,29.35,-98.24
78109,29.48,-98.28
78112,29.2,-98.4
78148,29.55,-98.3
78150,29.53,-98.28
78152,29.42,-98.2
78201,29.48,-98.53
78202,29.43,-98.46
78203,29.41,-98.46
78204,29.41,-98.51
78205,29.43,-98.49
78206,,
78207,29.42,-98.52
78208,29.44,-98.46
78209,29.49,-98.46
78210,29.4,-98.46
78211,29.34,-98.57
78212,29.46,-98.49
78213,29.52,-98.53
78214,29.33,-98.48
78215,29.44,-98.48
78216,29.53,-98.48
78217,29.55,-98.43
78218,29.49,-98.4
78219,29.45,-98.38
78220,29.41,-98.39
78221,29.29,-98.47
78222,29.37,-98.39
78223,29.3,-98.4
78224,29.31,-98.54
78225,29.38,-98.53
78226,29.38,-98.56
78227,29.39,-98.64
78228,29.46,-98.57
78229,29.51,-98.57
78230,29.54,-98.56
78231,29.57,-98.55
78232,29.58,-98.48
78233,29.56,-98.37
78234,29.46,-98.44
78235,29.34,-98.44
78236,29.38,-98.61
78237,29.42,-98.57
78238,29.47,-98.61
78239,29.52,-98.36
78240,29.52,-98.61
78241,,
78242,29.35,-98.6
78243,29.371,-98.597
78244,29.48,-98.34
78245,29.41,-98.72
78247,29.57,-98.41
78248,29.59,-98.53
78249,29.57,-98.62
78250,29.5,-98.67
78251,29.46,-98.67
78252,29.34,-98.71
78253,29.47,-98.8
78254,29.54,-98.72
78255,29.64,-98.67
78256,29.63,-98.62
78257,29.64,-98.58
78258,29.65,-98.51
78259,29.63,-98.41
78260,29.69,-98.52
78261,29.68,-98.4
78263,29.35,-98.31
78264,29.21,-98.5
78284,,
78285,,
78617,30.15,-97.58
78645,30.44,-97.95
78652,30.13,-97.86
78653,30.3,-97.5
78660,30.43,-97.6
78669,30.4,-98.1
78701,30.27,-97.74
78702,30.26,-97.71
78703,30.29,-97.77
78704,30.24,-97.75
78705,30.29,-97.74
78710,,
78712,30.286,-97.734
78719,30.15,-97.67
78721,30.27,-97.68
78722,30.29,-97.72
78723,30.3,-97.69
78724,30.29,-97.61
78725,30.25,-97.62
78726,30.43,-97.84
78727,30.43,-97.72
78728,30.45,-97.69
78730,30.37,-97.84
78731,30.35,-97.77
78732,30.38,-97.89
78733,30.32,-97.87
78734,30.38,-97.96
78735,30.27,-97.87
78736,30.24,-97.89
78738,30.31,-97.98
78739,30.17,-97.89
78741,30.23,-97.72
78742,30.24,-97.66
78744,30.18,-97.74
78745,30.21,-97.8
78746,30.3,-97.81
78747,30.12,-97.75
78748,30.16,-97.82
78749,30.21,-97.86
78750,30.41,-97.8
78751,30.31,-97.72
78752,30.34,-97.7
78753,30.38,-97.67
78754,30.37,-97.64
78756,30.32,-97.74
78757,30.35,-97.73
78758,30.38,-97.71
78759,30.4,-97.75
78799,,
79821,31.97,-106.6
79835,31.94,-106.59
79836,31.55,-106.18
79849,31.5,-106.2
79901,31.76,-106.48
79902,31.78,-106.5
79903,31.79,-106.45
79904,31.86,-106.45
79905,31.76,-106.43
79906,31.81,-106.4
79907,31.72,-106.36
79908,31.83,-106.37
79910,,
79911,31.882,-106.544
79912,31.85,-106.54
79915,31.75,-106.38
79916,31.9,-106.2
79918,,
79922,31.8,-106.54
79924,31.89,-106.43
79925,31.79,-106.38
79927,31.65,-106.27
79928,31.6,-106.1
79930,31.82,-106.46
79932,31.88,-106.61
79934,31.9,-106.5
79935,31.79,-106.33
79936,31.78,-106.31
79938,31.8,-106.1
