Median Age,Population,Household Income,Per Capita Income,Name,Zip_Codes
39.3,24754.0,14041.0,10907.0,ZCTA5 00923,923
38.2,51699.0,19303.0,12558.0,ZCTA5 00924,924
34.6,6796.0,9903.0,10804.0,ZCTA5 00925,925
43.0,99106.0,33624.0,22687.0,ZCTA5 00926,926
45.9,13503.0,32932.0,25107.0,ZCTA5 00927,927
-666666666.0,25.0,-666666666.0,,ZCTA5 00934,934
72.1,749.0,-666666666.0,8875.0,ZCTA5 00936,936
39.0,76058.0,26032.0,12924.0,ZCTA5 00949,949
-666666666.0,0.0,-666666666.0,-666666666.0,ZCTA5 00950,950
-666666666.0,0.0,-666666666.0,-666666666.0,ZCTA5 00951,951
42.3,8467.0,15434.0,8998.0,ZCTA5 00952,952
37.1,72608.0,29837.0,14360.0,ZCTA5 00953,953
40.4,68452.0,23322.0,12226.0,ZCTA5 00956,956
40.2,40738.0,24438.0,13000.0,ZCTA5 00957,957
40.2,47849.0,29737.0,15979.0,ZCTA5 00959,959
33.2,2454.0,-666666666.0,3972.0,ZCTA5 00960,960
42.3,31017.0,28455.0,16714.0,ZCTA5 00961,961
37.1,19864.0,16135.0,9871.0,ZCTA5 00962,962
41.7,7659.0,15369.0,11228.0,ZCTA5 00965,965
45.3,16169.0,51318.0,36677.0,ZCTA5 00966,966
58.1,3368.0,45811.0,43889.0,ZCTA5 00968,968
40.4,43216.0,51604.0,27897.0,ZCTA5 00969,969
43.6,27449.0,20604.0,14718.0,ZCTA5 00971,971
39.4,60134.0,30801.0,16208.0,ZCTA5 00976,976
48.4,15203.0,34284.0,29494.0,ZCTA5 00979,979
44.3,14514.0,25935.0,14037.0,ZCTA5 00982,982
41.1,36687.0,27149.0,13585.0,ZCTA5 00983,983
41.5,32750.0,24834.0,13531.0,ZCTA5 00985,985
38.7,58583.0,32967.0,16557.0,ZCTA5 00987,987
45.8,17537.0,57694.0,33135.0,ZCTA5 01001,1001
23.6,30280.0,52379.0,27657.0,ZCTA5 01002,1002
19.9,11131.0,2499.0,4370.0,ZCTA5 01003,1003
45.4,5014.0,70325.0,35334.0,ZCTA5 01005,1005
43.8,14906.0,86165.0,39308.0,ZCTA5 01007,1007
49.9,1272.0,62750.0,33933.0,ZCTA5 01008,1008
66.2,384.0,59440.0,26043.0,ZCTA5 01009,1009
48.1,3724.0,86523.0,39077.0,ZCTA5 01010,1010
39.9,1507.0,75263.0,30903.0,ZCTA5 01011,1011
43.2,531.0,70114.0,37778.0,ZCTA5 01012,1012
35.0,23026.0,39868.0,21738.0,ZCTA5 01013,1013
44.2,30148.0,58780.0,30076.0,ZCTA5 01020,1020
37.6,2604.0,43349.0,25748.0,ZCTA5 01022,1022
49.5,958.0,51442.0,30925.0,ZCTA5 01026,1026
44.9,17870.0,63699.0,34386.0,ZCTA5 01027,1027
45.9,16156.0,85221.0,38320.0,ZCTA5 01028,1028
47.3,728.0,50750.0,31970.0,ZCTA5 01029,1029
45.1,11211.0,71716.0,33551.0,ZCTA5 01030,1030
38.6,1151.0,41875.0,27940.0,ZCTA5 01031,1031
49.8,551.0,78011.0,37424.0,ZCTA5 01032,1032
45.8,6300.0,89965.0,40222.0,ZCTA5 01033,1033
46.9,2313.0,87045.0,36015.0,ZCTA5 01034,1034
47.4,5301.0,58953.0,41575.0,ZCTA5 01035,1035
49.4,5193.0,81304.0,39634.0,ZCTA5 01036,1036
46.1,772.0,92750.0,31356.0,ZCTA5 01037,1037
51.4,2897.0,67096.0,39453.0,ZCTA5 01038,1038
54.6,1129.0,80000.0,49565.0,ZCTA5 01039,1039
35.2,40362.0,37954.0,22625.0,ZCTA5 01040,1040
43.7,2334.0,68869.0,31233.0,ZCTA5 01050,1050
53.2,1658.0,62222.0,31413.0,ZCTA5 01053,1053
50.9,1997.0,87174.0,46486.0,ZCTA5 01054,1054
44.4,21331.0,67715.0,33247.0,ZCTA5 01056,1056
46.3,8801.0,78986.0,35989.0,ZCTA5 01057,1057
34.3,15729.0,57485.0,36152.0,ZCTA5 01060,1060
45.2,10587.0,73438.0,38373.0,ZCTA5 01062,1062
20.5,574.0,-666666666.0,3532.0,ZCTA5 01063,1063
-666666666.0,9.0,-666666666.0,,ZCTA5 01066,1066
46.7,1849.0,85938.0,35289.0,ZCTA5 01068,1068
47.1,8919.0,59211.0,32833.0,ZCTA5 01069,1069
50.2,637.0,57000.0,30342.0,ZCTA5 01070,1070
47.9,1206.0,67132.0,32683.0,ZCTA5 01071,1071
45.6,1490.0,72000.0,36574.0,ZCTA5 01072,1072
46.4,6090.0,89423.0,44641.0,ZCTA5 01073,1073
33.7,477.0,61603.0,18494.0,ZCTA5 01074,1074
40.3,17755.0,66681.0,32046.0,ZCTA5 01075,1075
46.6,9711.0,76737.0,38002.0,ZCTA5 01077,1077
46.3,480.0,27105.0,31721.0,ZCTA5 01079,1079
32.7,2532.0,49844.0,23355.0,ZCTA5 01080,1080
43.7,1827.0,50465.0,26913.0,ZCTA5 01081,1081
41.8,10637.0,51768.0,27830.0,ZCTA5 01082,1082
36.9,3182.0,65547.0,24012.0,ZCTA5 01083,1083
53.6,183.0,90625.0,43879.0,ZCTA5 01084,1084
39.1,41652.0,62423.0,29630.0,ZCTA5 01085,1085
19.0,683.0,-666666666.0,2892.0,ZCTA5 01086,1086
53.3,399.0,51406.0,32106.0,ZCTA5 01088,1088
39.2,28671.0,51735.0,29344.0,ZCTA5 01089,1089
47.0,1133.0,75799.0,33033.0,ZCTA5 01092,1092
52.6,348.0,103750.0,54538.0,ZCTA5 01093,1093
54.6,327.0,21250.0,32228.0,ZCTA5 01094,1094
47.2,14659.0,104128.0,45406.0,ZCTA5 01095,1095
44.3,2607.0,77083.0,36844.0,ZCTA5 01096,1096
17.1,54.0,-666666666.0,9161.0,ZCTA5 01097,1097
50.4,1186.0,76563.0,43006.0,ZCTA5 01098,1098
33.6,2409.0,16720.0,21340.0,ZCTA5 01103,1103
36.0,23635.0,30053.0,19687.0,ZCTA5 01104,1104
32.3,11601.0,17569.0,15259.0,ZCTA5 01105,1105
46.2,16048.0,111231.0,55504.0,ZCTA5 01106,1106
28.8,11304.0,26772.0,15178.0,ZCTA5 01107,1107
31.7,28925.0,38499.0,18875.0,ZCTA5 01108,1108
27.9,30125.0,35191.0,15703.0,ZCTA5 01109,1109
36.8,14774.0,61112.0,29498.0,ZCTA5 01118,1118
34.7,13236.0,47439.0,22681.0,ZCTA5 01119,1119
48.3,2798.0,65977.0,35083.0,ZCTA5 01128,1128
42.9,6750.0,63895.0,30597.0,ZCTA5 01129,1129
32.7,8884.0,40360.0,18717.0,ZCTA5 01151,1151
-666666666.0,0.0,-666666666.0,-666666666.0,ZCTA5 01199,1199
44.0,44775.0,47614.0,30286.0,ZCTA5 01201,1201
45.8,8211.0,49777.0,28827.0,ZCTA5 01220,1220
49.2,818.0,74583.0,39128.0,ZCTA5 01222,1222
51.8,2351.0,77857.0,39393.0,ZCTA5 01223,1223
49.8,209.0,38446.0,22355.0,ZCTA5 01224,1224
48.2,3169.0,61512.0,33984.0,ZCTA5 01225,1225
48.9,6839.0,61063.0,34994.0,ZCTA5 01226,1226
67.4,86.0,29000.0,18577.0,ZCTA5 01229,1229
49.9,8359.0,65214.0,37450.0,ZCTA5 01230,1230
49.6,2671.0,63000.0,35609.0,ZCTA5 01235,1235
42.2,1197.0,57014.0,32948.0,ZCTA5 01236,1236
46.9,2662.0,84615.0,33634.0,ZCTA5 01237,1237
46.5,5917.0,67708.0,33536.0,ZCTA5 01238,1238
57.2,4493.0,68948.0,53659.0,ZCTA5 01240,1240
33.8,475.0,81172.0,29336.0,ZCTA5 01242,1242
57.3,333.0,71979.0,51112.0,ZCTA5 01243,1243
60.8,108.0,55556.0,41983.0,ZCTA5 01244,1244
55.8,803.0,69821.0,49853.0,ZCTA5 01245,1245
43.6,15703.0,40928.0,24982.0,ZCTA5 01247,1247
59.8,742.0,74554.0,45803.0,ZCTA5 01253,1253
58.3,977.0,92083.0,67240.0,ZCTA5 01254,1254
50.2,859.0,68636.0,36882.0,ZCTA5 01255,1255
47.3,764.0,55375.0,29340.0,ZCTA5 01256,1256
53.1,2138.0,59500.0,46014.0,ZCTA5 01257,1257
61.7,357.0,57917.0,46676.0,ZCTA5 01258,1258
60.6,506.0,62727.0,58770.0,ZCTA5 01259,1259
32.9,447.0,112756.0,28091.0,ZCTA5 01260,1260
56.9,1110.0,36042.0,38369.0,ZCTA5 01262,1262
58.4,205.0,80000.0,49908.0,ZCTA5 01264,1264
55.5,1360.0,74107.0,45261.0,ZCTA5 01266,1266
31.9,7853.0,78068.0,33267.0,ZCTA5 01267,1267
50.1,813.0,80000.0,45778.0,ZCTA5 01270,1270
44.1,17715.0,48477.0,30169.0,ZCTA5 01301,1301
49.3,1468.0,74167.0,41585.0,ZCTA5 01330,1330
44.7,13281.0,53733.0,27402.0,ZCTA5 01331,1331
50.0,2626.0,66085.0,34785.0,ZCTA5 01337,1337
59.6,170.0,57750.0,24208.0,ZCTA5 01338,1338
50.5,1472.0,55313.0,29754.0,ZCTA5 01339,1339
53.7,1642.0,53125.0,29428.0,ZCTA5 01340,1340
50.9,1743.0,101023.0,51004.0,ZCTA5 01341,1341
